articleId,created_at,likes_counts,region,content,authorName,authorGender,authorAddress
5163010125465212,2025-05-05,3741,湖南,他们是真敢干《挖鼻》,嗟夫夫,m,其他
5163010125465212,2025-05-05,3499,广东,"和大自然对着干,没啥好下场呀",xxxxvim,m,海外 加拿大
5163010125465212,2025-05-05,3093,江苏,这才是违反人道主义,烦烦之辈,m,海外 其他
5163010125465212,2025-05-05,1798,安徽,印度会有报应的!,高雅_艺术,m,安徽 安庆
5163010125465212,2025-05-05,1039,上海, 这已经是战争行为了。,财家村,m,上海 静安区
5163010125465212,2025-05-05,636,山东,这不是违法的吗?,福说财到,f,山东 济南
5163010125465212,2025-05-05,572,湖南,这个是有点过分了,贾贾大人,f,浙江
5163010125465212,2025-05-05,487,山东,坏透了,氧气薄荷绿,m,山东 青岛
5163010125465212,2025-05-05,435,浙江,不怕内涝嘛,地球坏人太多_11,f,浙江 宁波
5163010125465212,2025-05-06,370,广东,那印度水就不出去。他们不会发洪水?,左右微了个博,m,广东
5163010125465212,2025-05-05,290,山东,这是有多坏呀,BAR1990年,f,其他
5163010125465212,2025-05-05,211,新疆,"印度若将水资源武器化,短期或可获得谈判筹码,但长期将侵蚀其""负责任的地区大国""形象,并引发不可控的连锁反应。解决跨境水资源争端,终究需超越零和思维,在科学管理与政治互信间寻求平衡。",财易峰,m,新疆
5163010125465212,2025-05-05,172,山东,水满了怎么办?,财入门,m,北京 海淀区
5163010125465212,2025-05-05,100,山东," 印度也是吹牛逼,就印度水库大坝质量,憋三天就可能溃坝,不放水都不行。",陆锡鑫,m,北京 朝阳区
5163010125465212,2025-05-05,110,山西,问题是这样干了得后果?,多福浪明哥,m,山西 太原
5163010125465212,2025-05-05,131,山东,"10天,水能覆舟。",秝喆,m,山东
5163010125465212,2025-05-05,45,吉林,《吃瓜》《吃瓜》《吃瓜》看来印度要得不偿失了,无坑不人生,m,其他
5163010125465212,2025-05-05,39,四川,太狠了。,漠鸢MY_12464,f,四川 广安
5163010125465212,2025-05-06,37,云南,这个世界好魔幻🤣,MissMyDD,f,上海 静安区
5163010125465212,2025-05-05,37,湖北,印度的水不喝也罢。,Donnie-Z,m,湖北 武汉
5163010125465212,2025-05-05,18,广东,能关多久……,子若思云,f,广东 广州
5163010125465212,2025-05-05,10,广东,《污》《污》这么狠,财外卖,m,其他
5163010125465212,2025-05-06,0,北京,激化矛盾,体育迷巴霞,f,北京
5163010125465212,2025-05-05,4,广东,为啥呀?,_4儿,f,海外
5163010125465212,2025-05-05,2,四川,《汗》《汗》,古里古怪2024,m,四川
5163010125465212,2025-05-05,5,浙江,太霸道了吧,秀财姐姐,f,浙江 杭州
5163010125465212,2025-05-06,1,山东,杀敌一千自损八百,财馆馆,f,山东 聊城
5163010125465212,2025-05-06,0,北京,"这事情干的《吃惊》《 不让""一滴水""进入巴基斯坦 杰纳布河急剧干涸》",周思CIO,m,北京
5163010125465212,2025-05-06,0,安徽,太坏了,屮663,m,海外
5163010125465212,2025-05-06,0,浙江,也不怕反噬,舞夏vv,f,浙江 杭州
5163010125465212,2025-05-06,0,山东,"  确实是反人类罪! 逼急了巴基斯坦给印度大坝炸了,一损俱损《允悲》",望月开心,m,山东 济南
5163010125465212,2025-05-06,1,云南,他们还是个有信仰的国家……,一懒惰神,f,其他
5163010125465212,2025-05-06,0,云南," 过分了,一触即发!",蓝沃,m,云南 昆明
5163010125465212,2025-05-06,0,贵州,印度好幼稚啊。。。,夏了夏天yo3,f,西藏
5163010125465212,2025-05-05,112,广东,下雨不把自己给淹了,水鱼的自信,m,其他
5163010125465212,2025-05-05,55,广西,真不是人啊,江湖十月任秋风,f,广西
5163010125465212,2025-05-06,0,浙江,这条河就这样悲哀的死去,杭城阿良,m,浙江 杭州
5163010125465212,2025-05-06,0,韩国,有病吧,汤王昊天,m,安徽 亳州
5163010125465212,2025-05-06,64,江苏,"逆天而行,必遭天谴啊",海豚它偏头痛,f,江苏 南京
5163010125465212,2025-05-05,18,四川,这不是挑起更大冲突?而且这种做法不是反 人 类 吗?《衰》,默默大夜猫,f,重庆
5163010125465212,2025-05-05,22,云南,"印度恒河的水他们自己留着吧,谁敢用啊",成毅的程意,f,云南 大理
5163010125465212,2025-05-05,58,安徽,太阴损了吧,柳朝歌12251225,f,海外 英国
5163010125465212,2025-05-05,31,天津,没人性,Ariel-aii,m,天津
5163010125465212,2025-05-05,38,上海,看来也是没有别的办法了只能出这种阴招了,迷迷糊糊阿兔兔,f,上海 浦东新区
5163010125465212,2025-05-05,220,河南,"河是人类共同的,在他们境内只有一部分,不能算他们的所有物,简直是屠夫",唯有美人美食美景不可辜负,f,内蒙古
5163010125465212,2025-05-05,3,四川," 这是又闹矛盾了,细一看挺狠直接切断流向巴基斯坦的河水,这样一搞矛盾不得又升级估计整个南亚都跟着着急",财珈0,f,四川 成都
5163010125465212,2025-05-05,7,广东,平民也惹了印度?这是不让人活啊,胜XVX等待,m,广东 中山
5163010125465212,2025-05-05,39,江苏,"太残忍了,灭绝人性!",颐和源璟小黄鸭,m,江苏
5163010125465212,2025-05-05,29,广西,"这事一做,不死不休了",iStrawberry_g6e,m,广西 桂林
5163010125465212,2025-05-05,52,山东,"印度不允许一滴水流向巴基斯坦,坏到绝种说的就是你",豆果进入船世界-i花发疯版,f,山东 济宁
5163010125465212,2025-05-05,31,北京,有一个作死的出现了 《摊手》,YIMO_2022,m,北京 朝阳区
5163010125465212,2025-05-05,9,陕西,这不会打起来吗?要人命呢,肖格拉兹,f,其他
5163010125465212,2025-05-05,54,辽宁,开始反人类了,用户6328833607,m,其他
5163010125465212,2025-05-05,30,江苏,反人类啊,prettytree美树,f,江苏
5163010125465212,2025-05-05,425,广东,这妥妥的反人类罪啊,彭哥要继续探索宇宙,m,北京
5163010125465212,2025-05-05,161,浙江,这种是不是可以算反人类罪,悍鱼_30923,m,浙江 温州
5163010125465212,2025-05-06,1,云南,他们还是个有信仰的国家……,一懒惰神,f,其他
5163010125465212,2025-05-06,1,山东,杀敌一千自损八百,财馆馆,f,山东 聊城
