articleId,created_at,likes_counts,region,content,authorName,authorGender,authorAddress,sentiment
5141564494976646,2025-03-07,1110,山西,"张凯丽委员的发言直击就业痛点,35岁求职门槛确实不合理。期待国家出台政策,打破年龄歧视,让能力成为衡量人才的唯一标准,为所有求职者创造公平的环境。",北京校园君,f,北京,积极
5141564494976646,2025-03-07,1054,江西,"有退休金的先退,不要返聘了",真厂,m,浙江,积极
5141564494976646,2025-03-07,888,河北,"首先国家得起到带头作用,打破公务员35岁门槛",米朵-MIDUO,f,河南 郑州,积极
5141564494976646,2025-03-07,495,北京,"退休嫌早,找工作嫌老",大叔爱喝金骏眉,m,其他,积极
5141564494976646,2025-03-07,399,北京,"首先国企职工,公务员,先打破。我40还在考研。考完研放柜子里吧",大波浪牛敦敦,f,北京,积极
5141564494976646,2025-03-07,367,天津,"35真的很年轻啊,毕业十年而已,也许刚刚结束第一份工作,刚刚结婚生子,就找不到工作了!甚至30岁都很难找。这个门槛不打破,解决不了结婚率和生育率底下的问题。",nalaby,f,天津 和平区,积极
5141564494976646,2025-03-07,151,广东,"让35岁的出来说感受,别让70的嘴替,他们不懂",搞咩嘢啊哈,m,广东,积极
5141564494976646,2025-03-07,140,广东,27 8现在出去找工作都被嫌弃《允悲》,我是人帅,m,广东,积极
5141564494976646,2025-03-07,95,北京,"希望更多的代表为年龄歧视,性别歧视,生育歧视发声",凌晨两点的拉面馆,f,海外 法国,积极
5141564494976646,2025-03-07,66,北京,支持 35岁以后的人 有见识 有经验,凡小粟,m,北京,积极
5141564494976646,2025-03-07,56,北京,"我今天还看见一个体制内卡硕士30博士35的,上梁都不正,下梁当然歪",小妞子要情绪稳定,f,海外 西班牙,积极
5141564494976646,2025-03-07,52,江苏,"28岁失业一年了,企业都不要这个年纪的女生了",小赞的妻子,f,江苏 南京,积极
5141564494976646,2025-03-07,48,山东,泪流满面《泪》《泪》《泪》《泪》《泪》《泪》求助帮助《泪》《泪》《泪》《泪》《泪》《泪》《泪》,莱州范世明v,m,山东,积极
