id,likeNum,commentsLen,reposts_count,region,content,created_at,type,detailUrl,authorName,authorDetail,negative_ratio,neutral_ratio,positive_ratio,emotion
5162949929602481,1910,119,19,福建,"船已经晃成这样了,还没人拿救生衣,也不把窗户关上。应急意识还不到位,虽是天气因素,但经营者还是存在侥幸心理,没有提前采取避险措施。🙏🙏🙏 ",2025-05-05,热门,https://weibo.com/5162949929602481/PqpC8Ei2J,吃不饱的普普,https://weibo.com/u/2527520833,75.0,0.0,25.0,消极
5162647738385233,3932,440,479,湖北,"""小白""3年后 是时候聊聊灵动岛了  距离iphone14pro系列发布已经过去了3年,但是现在回顾,发现灵动岛反而是那个最有意思的功能。那到底是大家调侃的x上雕花,还是极致创新,3年之后我们觉得可以聊聊了。 ",2025-05-04,热门,https://weibo.com/5162647738385233/PqhKJzbnH,小白测评,https://weibo.com/u/2022252207,52.56,0.0,47.44,消极
5162962306730972,1560,419,1215,无,"  也有自己的f4了!连麦直播中, 爆料自己和 三人组成了""天台f4"",四人在节目中建立了如家人般的亲密关系,这神仙组合直接拉满期待值!锁定每周六20:20,来看四人在节目中的欢乐趣事~",2025-05-05,热门,https://weibo.com/5162962306730972/PqpW6sf24,无限超越班,https://weibo.com/u/5822309693,24.03,0.0,75.97,积极
5162694949471103,23860,1535,5576,浙江,精疲力竭也要咬牙与伤痛共舞 好像你的这一路 250504 海口演唱会 严浩翔die for you舞蹈  ,2025-05-04,热门,https://weibo.com/5162694949471103/PqiYSDJRJ,少吃晚饭,https://weibo.com/u/5711960368,35.91,0.0,64.09,积极
5162768315712516,731746,220115,707163,海南,"大家好呀,我是时代少年团丁程鑫。 最新一场的演唱会结束了,这次选择了唱自己的solo。演唱会刚好在立夏前,每每提到夏天总离不开枝繁叶茂的景象。 我想,在又要毕业的时候,这样一个只是学生""丁程鑫""的表演,也算是代表着属于我的""枝繁叶茂""吧。 纵然是微小的存在,我们也都能生长出各种各样的未来。 无论是花,是草,是树亦或是其他,都被接纳,都能光明正大的存在于这个世界。 我们下次见!!!",2025-05-05,热门,https://weibo.com/5162768315712516/PqkTdnY5m,时代少年团-丁程鑫,https://weibo.com/u/5781292544,5.35,0.0,94.65,积极
5161489648321809,2741317,21355,9598,无,"《你最期待哪部待播剧?》,你是开启了旅途,还是选择在家休息?? 近期,多部国产待播剧受到网友关注 《藏海传》 等主演 《赴山海》 等主演 《长安的荔枝》 等主演 《枭起青壤》 等主演 《雨霖铃》 等主演 《正当防卫》 等主演 …… 有你期待的吗?",2025-05-01,热门,https://weibo.com/5161489648321809/PpNCQyUSJ,人民日报,https://weibo.com/u/2803301701,47.0,0.0,53.0,积极
5162478548027780,7534,379,385,北京,"《恰同学少年,风华正茂,书生意气,挥斥方遒。愿你鹰击长空,不负青春韶华!》",2025-05-04,热门,https://weibo.com/5162478548027780/PqdlQxGok,赵立坚个人微博,https://weibo.com/u/7286955267,15.85,0.0,84.15,积极
5162695914947260,1202,205,43,湖北,"照片里这货叫alex wong,他的父母从广东移民,他出生于美国,是特朗普的副国家安全顾问,昨天跟国家安全顾问迈克·华尔兹一起被解雇了。虽然他是华裔,但是他却极端反华!",2025-05-04,热门,https://weibo.com/5162695914947260/Pqj0rkL0w,爱国青年刘战神,https://weibo.com/u/6317134281,62.06,0.0,37.94,消极
5162899589565969,1237,171,47,北京,"向丽,老喻老两口,在昌平乡下租了个大院子,装修的很有格调。一直没时间去,昨天正巧扶霞老师""回国"",便相约一同前往。在村里,见了朋友吃了饭又去徒步,喝了酒喝了茶又喝咖啡,品了甜品又品奶酪,扶霞很开心,甚至忘了一种叫时差的东西。",2025-05-05,同城,https://weibo.com/5162899589565969/PqoiWE8xP,陈晓卿,https://weibo.com/u/1647375747,35.85,0.0,64.15,积极
5160798499637076,10625,3394,3474,上海,最近小日子📆,2025-04-29,榜单,https://weibo.com/5160798499637076/PpvE5Er2I,杨采钰Ora,https://weibo.com/u/1774182292,21.33,0.0,78.67,积极
5162731023895663,4629,185,792,无," 💥  ""致我最爱的群像""",2025-05-05,榜单,https://weibo.com/5162731023895663/PqjV4glrh,怪木里优,https://weibo.com/u/2693082341,18.65,0.0,81.35,积极
