articleId,created_at,likes_counts,region,content,authorName,authorGender,authorAddress
5164425699920984,2025-05-09,1840,北京,"这都白住多长时间了,也够本儿了他《作揖》《doge》",MsApril,f,北京
5164425699920984,2025-05-10,1700,山东,可以直接写 汪小菲拒绝赡养具俊晔《doge》,CherishGyu,f,其他
5164425699920984,2025-05-09,1054,江苏,可以住小s家,小麦和柳树,m,其他
5164425699920984,2025-05-09,782,山东,"拎包入住,拎包走",尘埃lili,f,其他
5164425699920984,2025-05-09,679,广东,"光头不是很有钱吗,直接买下呀。反正他也不想回韩国",无事小神仙YXM,m,其他
5164425699920984,2025-05-10,422,广东,"光头不是说舍不得大s吗,要在同一片天空下,最近的就是一起住过的家,应该拼尽全力去买回来啊。",幸福的花瓣03282,f,广东 广州
5164425699920984,2025-05-09,193,山东,不付就对了!,富在买房,m,海外
5164425699920984,2025-05-10,149,河北,"之前不是说卤蛋挺有钱,也有几个亿呢,",回归赛场-砥砺前行,m,北京 密云区
5164425699920984,2025-05-09,113,四川,图片评论,嚼優越感的糖果,f,贵州 贵阳
5164425699920984,2025-05-10,131,贵州,"不是,它们说它们的光头欧巴很有钱的,不缺这点钱呀《偷笑》",蓝色六芒星真恶魔,f,贵州
5164425699920984,2025-05-09,59,上海,看来撒玉米粒确实是不吉祥,鲜花味的小食光,f,北京 东城区
5164425699920984,2025-05-10,47,安徽,双方律师到场 惊呆了 豪宅已经搬空 除了小孩衣服 家具 洗劫一空 品牌首饰盒 珠宝啥都没,daihehe-,m,其他
5164425699920984,2025-05-09,48,贵州,她不是有现任老公么,请叫我刘大头,f,其他
5164425699920984,2025-05-10,31,浙江,为什么人没了还天天上热搜《笑cry》,小谢不忘丧其元,m,浙江
5164425699920984,2025-05-10,39,上海,真的是白住那么久了,格格和格格不入,f,海外 其他
5164425699920984,2025-05-10,32,浙江,"之前不是鼓吹,光头很有钱嘛",用户6398479922,f,其他
5164425699920984,2025-05-10,30,海南,"搬去跟s妈住了,好相互照顾《666》都是伤心欲绝的人。",Gigi_风筝,f,海南 海口
5164425699920984,2025-05-10,7,浙江,"本来他也没付,根本拿不出来给银行付款的清单",用户7879608116,f,其他
5164425699920984,2025-05-10,25,甘肃,"把里面东西都搜刮的差不多了吧,不会他搬出去剩个毛坯房了吧《允悲》",兔酱要瘦成一道闪电,f,甘肃 兰州
5164425699920984,2025-05-10,11,湖北,《笑cry》《笑cry》《笑cry》《笑cry》,跳舞上树丫丫2201705,f,江苏
5164425699920984,2025-05-10,24,北京,那不然呢?前夫支付房贷给光头免费住?,OverDyoDose,f,北京 海淀区
5164425699920984,2025-05-10,9,广东,图片评论,Leighton草园,m,四川
5164425699920984,2025-05-10,13,广东,"光头只会提供情绪价值,纹戒指,搞浪漫《汗》",波光潋滟fxp,f,广东 深圳
5164425699920984,2025-05-10,9,广东,"菲啊,你是真的饿了",Leighton草园,m,四川
5164425699920984,2025-05-10,17,浙江,"之前不是吹牛说光头很有钱嘛,",用户6398479922,f,其他
5164425699920984,2025-05-10,6,广东,"还是汪有钱,三千张美照的媳妇都争到了",Milk7303,f,其他
5164425699920984,2025-05-10,16,北京,可以住陶晶莹家,贵宾狗雅各布,f,北京 朝阳区
5164425699920984,2025-05-10,4,广东,"300多个评论上了热搜第一名,谁买的呢这是???",599cbd,f,广东 广州
5164425699920984,2025-05-10,2,湖北,"人走了大房子还在,人究竟是匆匆过客,图的么斯?",Tiramisulyz,m,湖北 武汉
5164425699920984,2025-05-10,6,广东,退潮了才知道谁在裸泳,记录生活的花哥,m,广东 湛江
5164425699920984,2025-05-10,7,河南,汪小菲总算是清醒了一把,缩氨酸荷尔蒙,f,其他
5164425699920984,2025-05-10,6,河南,"台湾那帮好友不是说具很有钱吗,怎么会不帮老婆承担房贷呢",云上_自在生活,f,西藏 拉萨
5164425699920984,2025-05-10,12,上海,搬去和s妈同住啊,M张豆逗,f,上海
5164425699920984,2025-05-10,5,广东,不是说光头不差钱吗 怎么现在连这点房贷都付不起了,用户79164202359,m,北京
5164425699920984,2025-05-10,0,湖南,他真的是拎包入住豪宅啊,刚满十八岁-,f,其他
5164425699920984,2025-05-10,4,北京,《思考》我以为汪小菲支付房贷是假的呢,小陀陀健康,m,山西 大同
5164425699920984,2025-05-10,5,天津,光头不回韩国吗?,TF_凯Lucky,m,其他
5164425699920984,2025-05-10,3,福建,汪小菲又开始买热搜了?,丁生生生生生,m,福建 厦门
5164425699920984,2025-05-10,9,北京,韩棒子的脸皮厚得不知道原子弹能不能戳穿《吐》没脸没皮这个程度也是世界奇迹了!某妈眼里最好女婿不知道遗产给她了吗《偷笑》,童淇读书,f,北京 东城区
5164425699920984,2025-05-10,3,江苏,住 tjy 家,Rachel颜瑾,f,山东 济南
5164425699920984,2025-05-10,8,北京,住这么长时间 脸也够了,吹尐号的天鹅,f,北京 东城区
5164425699920984,2025-05-10,1,天津,"《,》5月9日,媒体报道,具俊晔即将搬离大s位于台北信义区,价值4.6亿新台币的豪宅,目前正私下联系好友帮忙寻觅出租房。 《允悲》",琳琳顺顺,f,天津 和平区
5164425699920984,2025-05-10,7,湖北,"里面的东西打包完了,所以开始策划离开",自由的泡泡爱,f,湖北 武汉
5164425699920984,2025-05-10,4,广东,"《,》早就应该搬出去了",财渐涨,f,广东
5164425699920984,2025-05-10,1,湖南,"肯定不支付了啊,自己孩子都不住里面为啥要支付。",小虎毛毛V,f,北京
5164425699920984,2025-05-10,1,北京,两套豪宅 没有一套留给自己的孩子,salaamaaa,f,北京 朝阳区
5164425699920984,2025-05-10,1,上海,"喜欢大s,但她结婚看上的男人真的一言难尽..",米可Ker_,f,其他
5164425699920984,2025-05-10,0,福建,"光头应该娶了s妈,这样他们一家又能快乐的住一起《doge》",听山海mx,m,福建 宁德
5164425699920984,2025-05-10,1,重庆,大s命中注定嫁错了人 汪一家子 一言,房子198210,f,重庆
5164425699920984,2025-05-10,4,河南,"难怪卤蛋不走,拍卖了搞不好他能分一笔哦《doge》",红眼肥兔子mailika,f,其他
5164425699920984,2025-05-10,0,江苏,没新闻可以不发,吃肉的羊儿爱老虎,f,辽宁 沈阳
5164425699920984,2025-05-10,3,广东,好搞笑,jennyli幸福,f,广东 深圳
5164425699920984,2025-05-10,3,湖北,"汪小菲拒付,我觉得那些支持卤蛋的可以支棱起来了,你们的姐夫需要你们了",高傲是女人该有的姿态2_342,m,其他
5164425699920984,2025-05-10,2,江苏,每个月23万《苦涩》《苦涩》《苦涩》,大甜甜和小豆豆,f,江苏 苏州
5164425699920984,2025-05-10,2,北京,"哈哈哈,仍然是老无所依啊《衰》《衰》《衰》",我才是哈哈哈哈,f,北京
5164425699920984,2025-05-10,2,北京,还没回韩国么?,莫诗科郊外滴晚桑,f,北京 朝阳区
5164425699920984,2025-05-10,1,山西,有钱人也贷款买房吗,就说靓不靓吧,f,其他
5164425699920984,2025-05-10,1,河北,"我的天,他再付 ,他再住,就太可怕了",Mikey810,m,其他
5164425699920984,2025-05-10,1,广东,台媒不是吹光头收入很高吗《doge》,mannie007,f,广东
5164425699920984,2025-05-10,1,广东,所以为什么要汪小菲支付贷款?说说看!,佩兰白芷若是我,f,广东
5164425699920984,2025-05-10,0,广东,我还以为住上地狱的豪宅了,渔斐鱼,m,广东 深圳
5164425699920984,2025-05-10,0,河南,"  依然唏嘘不已,婚姻带给女明星的到底是什么,爱是真实存在过的但是消失过后也彻彻底底的另人心寒。可怜一双儿女了",财来迎,f,江苏 南京
5164425699920984,2025-05-10,0,湖北,不要相信任何一个韩国人。,毛阿俊-,m,其他
5164425699920984,2025-05-10,0,天津,"欧巴不是富豪吗?之前上过热搜的,咋会没钱付《微笑》",你若晟开清风自来,f,其他
5164425699920984,2025-05-10,0,四川,"不是挺有钱的吗,还租房《嘻嘻》",杰克马玩儿企鹅,m,四川
5164425699920984,2025-05-10,0,北京,"应该在第一时间搬出去吧,等这么久",小王子Anchor,f,北京
5164425699920984,2025-05-10,0,北京,"有一说一,前夫养后夫也没这个理儿",七音冲啊,f,其他
5164425699920984,2025-05-10,0,安徽,"哈哈,光头不离开家里的东西怎么转移?",快乐的赛尔迪亚,f,其他
5164425699920984,2025-05-10,0,广东,拒绝赡养前任老公,meimei608922,f,广东 深圳
